>  Running time: 2022-04-27_18:04:38
>  A(17.24 41.00) B(19.35 43.50) 0
21.8038321699 43.5177124093 525 226.963907217
21.8144765633 43.5223276905 526 300.346009809
21.8251225853 43.5269419841 527 339.224437464
21.8357702359 43.5315552898 528 390.997463857
21.8464195155 43.5361676073 529 503.319314929
21.8570704241 43.5407789363 530 656.105108483
21.8677229618 43.5453892765 531 639.905340799
21.878377129 43.5499986275 532 733.046305535
21.8890329257 43.554606989 533 733.817828422
21.8996903521 43.5592143608 534 824.23059006
21.9103494083 43.5638207425 535 730.633974968
21.9210100946 43.5684261338 536 716.957019861
21.931672411 43.5730305344 537 867.571282499
21.9423363578 43.577633944 538 984.289547888
21.953001935 43.5822363623 539 1024.11137977
21.9636691429 43.5868377889 540 1024.43637807
21.9743379817 43.5914382236 541 1083.32141886
21.9850084514 43.5960376661 542 1016.25985109
21.9956805522 43.600636116 543 898.339606906
22.0063542843 43.605233573 544 959.230138145
22.0170296479 43.6098300368 545 734.198328738
22.0277066431 43.6144255071 546 571.316053187
22.0383852701 43.6190199836 547 476.442638639
22.049065529 43.623613466 548 502.932557164
22.05974742 43.628205954 549 554.153897555
22.0704309433 43.6327974472 550 622.644050341
22.0811160989 43.6373879454 551 722.252868405
22.0918028871 43.6419774481 552 627.441183855
22.102491308 43.6465659553 553 631.20257073
22.1131813618 43.6511534664 554 503.883257107
22.1238730487 43.6557399812 555 556.982809493
22.1345663687 43.6603254994 556 434.44037714
22.1452613221 43.6649100206 557 472.101477729
22.1559579089 43.6694935447 558 558.323585399
22.1666561294 43.6740760711 559 809.11500216
22.1773559838 43.6786575997 560 764.022055673
22.1880574721 43.6832381302 561 641.45338872
22.1987605945 43.6878176621 562 502.083545488
22.2094653512 43.6923961953 563 457.673622822
22.2201717423 43.6969737293 564 401.959810772
22.230879768 43.7015502639 565 358.859471564
22.2415894285 43.7061257988 566 319.648522605
22.2523007238 43.7107003336 567 268.329641383
22.2630136542 43.715273868 568 222.098196306
22.2737282198 43.7198464018 569 303.478243947
22.2844444208 43.7244179346 570 254.268790343
22.2951622572 43.7289884661 571 173.572946123
22.3058817293 43.7335579959 572 165.580509747
22.3166028372 43.7381265239 573 216.844737692
22.3273255811 43.7426940496 574 337.04098915
22.3380499611 43.7472605727 575 446.108796703
22.3487759773 43.751826093 576 439.117943069
22.35950363 43.7563906101 577 500.111169836
22.3702329192 43.7609541238 578 385.559487815
22.3809638452 43.7655166336 579 498.349673219
22.391696408 43.7700781393 580 505.509172788
22.4024306078 43.7746386405 581 505.499068809
22.4131664448 43.7791981371 582 460.934039285
22.4239039191 43.7837566285 583 381.700864168
22.4346430309 43.7883141146 584 357.358601036
22.4453837803 43.792870595 585 343.804760005
22.4561261675 43.7974260694 586 337.720653105
22.4668701925 43.8019805375 587 321.296888653
22.4776158557 43.806533999 588 297.552139935
22.488363157 43.8110864535 589 271.424478068
22.4991120967 43.8156379008 590 251.650191168
22.5098626749 43.8201883405 591 246.331516684
22.5206148918 43.8247377724 592 262.713897892
22.5313687475 43.829286196 593 264.992350591
22.5421242421 43.8338336112 594 215.511881287
22.5528813758 43.8383800175 595 203.111737134
22.5636401487 43.8429254146 596 204.348570638
22.574400561 43.8474698024 597 208.79314618
22.5851626129 43.8520131803 598 191.166049936
22.5959263044 43.8565555482 599 177.193772297
22.6066916358 43.8610969057 600 244.701563473
22.6174586071 43.8656372525 601 210.185810147
22.6282272185 43.8701765883 602 247.037036837
22.6389974702 43.8747149127 603 241.519477699
22.6497693623 43.8792522255 604 238.532475019
